;;;;;;;;;;;;;;;;;;;Nests Laid on Cousin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;30;53;0;136;114;131;182;209;112;102;594;590;543;376;781;349;439;541;571;583;568;495;492;551;386;266;85;360;246;;;;
X 3577;SCA 1255;X 3577;SCA 1255;Cousin;;1992;;;SCA 1255;12/01/2008;;;;;;;;;;;;;;;;;;;;2;;;1;;;2;;;;;;2;;;;;;4;2;1;HB
SXX 1047;SXX 1048;X 3557;X 3556;Cousin;;1992;SXX 1047;05/12/2017;SXX 1048;05/12/2017;;;;;;;;;;;;1;;;;;;;;;;;;2;;;5;;;4;;;3;;;;;5;5;1;HB
X 3687;SCA 1153;X 3687;;Cousin;;1992;;;SCA 1153;09/11/2007;;;;;;;;;;;;;;;;;;;;2;;1;;;2;;3;;;;;;;;;;;4;3;1;HB
X 3739;X 3746;X 3739;X 3738;Cousin;;1992;;;X 3746;;;;;;;;;;;;;;;1;;;;;;4;;;;;;4;;;3;;;;;;;;;4;4;1;HB
X 3761;X 3760;X 3761;X 3760;Cousin;;1992;;;;;;;;;;;;;;;;1;;1;;;;;;;3;;;;;4;;;;;;;;;;;;4;4;1;HB
SCA 1161;X 3699;X 3700;X 3699;Cousin;;1992;SCA 1161;13/10/2007;;;;;;;;;;;;;;;;;3;;1;;;4;;2;;;;;;;;;;;;;;;;4;4;1;HB
SCA 1274;SEY 6137;X 3566;;Cousin;;1992;SCA 1274;02/01/2008;SEY 6137;25/11/2002;;;;;;;;;;;;;;;1;;;1;;1;;2;;;;;;;;;2;;;;;;;5;2;1;HB
X 3551;X 3552;X 3551;X 3552;Cousin;;1992;;;;;;;;;;;;;;;;;1;;;;2;;;;5;;;;4;;;;;;;;;;;;;4;5;1;HB
X 3558;SEY 9653;X 3558;;Cousin;;1992;;;SEY 9653;03/01/2007;;;;;;;;;;;;;1;;;;;;1;;;;3;;;;;;;;;3;;;;;;4;3;1;HB
X 3573;X 3450;X 3573;X 3450;Cousin;;1992;;;;;;;;;;;;;;;;1;;;;;;;2;1;3;;;;;;;;;;;;;;;;;4;3;1;HB
X 3723;X 3722;X 3723;X 3722;Cousin;;1992;;;;;;;;;;;;;;;;;;;1;;1;;;2;;;;;1;;;;;;;;;;;;;4;2;1;HB
SCA 1130;SXX 4450;X 3550;X 3549;Cousin;;1992;SCA 1130;30/10/2007;SXX 4450;08/12/2023;;;;;;;;;;;;;;1;;;;;;4;;;;2;;;2;;;;;3;;;;5;;6;5;1;HB
SCA 2693;SEY 8654;X 3697;;Cousin;;1992;SCA 2693;21/11/2010;SEY 8654;;;;;;;;;;;;;;;;;;;;3;;3;;3;;;;3;;5;;;;2;;;;;6;5;2;HB
